City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,-24.7911,-50.0119,62.78,93,88,3.06,overcast clouds
1,Mvomero,TZ,-6.25,38.6667,68.25,88,2,0.43,clear sky
2,Tasiilaq,GL,65.6145,-37.6368,32.16,98,100,2.1,light snow
3,Port Alfred,ZA,-33.5906,26.891,67.17,85,95,1.99,overcast clouds
4,Vaini,TO,-21.2,-175.2,77.16,78,75,10.36,broken clouds
5,Belmopan,BZ,17.25,-88.7667,93.58,74,100,7.27,overcast clouds
6,Linhares,BR,-19.3911,-40.0722,72.66,77,2,6.62,clear sky
7,Hermanus,ZA,-34.4187,19.2345,61.81,96,100,3.94,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,70.65,77,89,8.77,light rain
9,Clyde River,CA,70.4692,-68.5914,21.43,73,75,10.36,broken clouds
10,Christchurch,NZ,-43.5333,172.6333,50.47,76,75,12.66,broken clouds
11,Namibe,AO,-15.1961,12.1522,67.55,88,55,9.26,broken clouds
12,Atuona,PF,-9.8,-139.0333,77.22,74,38,15.23,scattered clouds
13,Saldanha,ZA,-33.0117,17.9442,60.67,94,100,15.79,overcast clouds
14,Kaptanganj,IN,26.9267,83.7153,70.97,94,98,3.44,overcast clouds
15,Basco,PH,20.4487,121.9702,78.33,90,100,33.51,overcast clouds
16,Punta Arenas,CL,-53.15,-70.9167,44.62,70,40,23.02,light rain
17,Thompson,CA,55.7435,-97.8558,55.56,76,100,6.91,overcast clouds
18,Upernavik,GL,72.7868,-56.1549,19.44,75,100,3.87,overcast clouds
19,Avarua,CK,-21.2078,-159.775,80.65,74,75,21.85,broken clouds
20,Bengkulu,ID,-3.8004,102.2655,73.89,87,99,3.67,overcast clouds
21,Hofn,IS,64.2539,-15.2082,46.13,99,100,8.39,overcast clouds
22,Wajima,JP,37.4,136.9,61.81,62,100,11.5,overcast clouds
23,Hilo,US,19.7297,-155.09,89.28,74,0,9.22,clear sky
24,Awbari,LY,26.5921,12.7805,73.45,23,12,6.49,few clouds
25,Lavrentiya,RU,65.5833,-171.0,28.08,62,100,8.61,overcast clouds
26,San Carlos De Bariloche,AR,-41.1456,-71.3082,48.02,72,90,8.25,overcast clouds
27,East London,ZA,-33.0153,27.9116,68.92,72,87,15.73,overcast clouds
28,Nadym,RU,65.5333,72.5167,39.87,75,100,18.28,overcast clouds
29,Sovetskiy,RU,61.3614,63.5842,41.4,91,96,4.25,overcast clouds
30,Bluff,NZ,-46.6,168.3333,49.71,50,92,2.3,overcast clouds
31,Jardim,BR,-21.4803,-56.1381,65.77,97,100,4.97,overcast clouds
32,Airai,TL,-8.9266,125.4092,62.49,82,100,0.89,overcast clouds
33,Mount Isa,AU,-20.7333,139.5,76.77,31,59,4.61,broken clouds
34,Brae,GB,60.3964,-1.353,51.33,93,100,23.17,moderate rain
35,Faya,SA,18.3851,42.4509,62.71,31,0,5.01,clear sky
36,Mataura,NZ,-46.1927,168.8643,51.98,47,79,1.83,broken clouds
37,Collierville,US,35.042,-89.6645,80.1,32,0,0.0,clear sky
38,Erzin,TR,36.9559,36.2,69.15,56,0,3.2,clear sky
39,Sao Miguel,BR,-5.4667,-35.3667,77.77,73,77,19.71,broken clouds
40,Macusani,PE,-14.0833,-70.4333,46.33,45,28,1.92,scattered clouds
41,Puerto Ayora,EC,-0.7393,-90.3518,73.36,85,98,5.01,overcast clouds
42,Smiltene,LV,57.4244,25.9016,42.55,90,8,6.64,clear sky
43,Kodiak,US,57.79,-152.4072,45.91,49,75,10.36,broken clouds
44,Narsaq,GL,60.9167,-46.05,34.02,84,100,5.99,overcast clouds
45,Hami,CN,42.8,93.45,48.88,35,54,5.59,broken clouds
46,Jamestown,US,42.097,-79.2353,65.84,49,20,9.22,few clouds
47,San Jose,US,37.3394,-121.895,87.21,49,20,10.36,few clouds
48,Cukai,MY,4.25,103.4167,76.95,91,100,5.86,overcast clouds
49,Marawi,PH,7.9986,124.2928,69.03,93,93,3.11,overcast clouds
50,Sept-Iles,CA,50.2001,-66.3821,48.2,69,100,9.22,overcast clouds
51,Fortuna,US,40.5982,-124.1573,61.72,80,0,12.66,clear sky
52,Butaritari,KI,3.0707,172.7902,82.13,78,41,20.02,light rain
53,Bocaiuva,BR,-17.1078,-43.815,83.91,27,16,5.3,few clouds
54,Cabo San Lucas,MX,22.8909,-109.9124,95.31,49,0,5.01,clear sky
55,Cheremushskiy,RU,61.2731,47.2636,38.79,95,19,4.25,few clouds
56,Ushuaia,AR,-54.8,-68.3,38.86,87,75,20.71,light rain
57,Vao,NC,-22.6667,167.4833,72.57,77,77,13.76,broken clouds
58,Cherskiy,RU,68.75,161.3,11.68,92,99,10.58,overcast clouds
59,Port Elizabeth,ZA,-33.918,25.5701,67.32,82,40,12.66,scattered clouds
60,Palimbang,PH,6.2106,124.1894,78.8,84,98,4.32,overcast clouds
61,Kralendijk,BQ,12.15,-68.2667,84.18,79,40,13.8,scattered clouds
